smiles,time
CCCCCCCCCCCCOS(=O)(=O)O.[Na],812.4
C[N+](C)(CC)CCCCCCCCCCCCCCCC.[Br-],381
CCCCCCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O,0
C[Si](C)(C)O[Si](CCCOCCOCCOCCOCCOCCOCCOCCOCCO)(C)O[Si](C)(C)C,178
O=S(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(NCCC[N+](C)(C)CC([O-])=O)=O,2542.8
CCCCCCCCCCOC1C(C(C(C(O1)CO)O)O)O,2534.3
CC[Si](CCC[N+](C)(C)CC)(CC)CC.[Br-],59
CC[Si](CCC[N+](C)(C)CCCS([O-])(=O)=O)(CC)CC,0
CCCCCCCCCCCC[N+](C)(C)C.[Br-],678.3
CCCCCCCCCCCC[N+](C)(C)CCC(=O)[O-],39.8
CCCCCCCC[N+](C)(CC)C.[Br-],0
CCCCCCCC[N+](C)(C)CCCS([O-])(=O)=O,0
C[N+](CCC[N+](C)(C)CCCCCCCCCCCC)(CCCCCCCCCCCC)C.[Br-].[Br-],298
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],1077
CC(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1C(C)C,528
CC(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1C(C)C,229
[N+](CCCCCCCCCCCCCC)(C)(C)C,548
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],141
O=S(C1=CC=CC=C1)([O-])=O.[Na+],690
COCCOCCC[Si](C)(O[Si](C)(C)C)O[Si](C)(C)C,2312
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],1457
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1171
CCCCCCCC(=O)[O-].[Na+],2
N.CCCCCCCCCCCCOS(O)(=O)=O,2371
CCCCCCCCCCCC(=O)[O-].[Na+],316
CCCCCCCCCCCC[N+](C)(C)[O-],373
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],228
CC(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1C(C)C,1291
CCCCCCCC=CCCCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCO)O,0
CCCCCCCC=CCCCCCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,0
CCCCCCCC[N+](C)(C)C.[Br-],0
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],38
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],92
