smiles,SurfaceExcess (mol/m2),Gamma_cmc (mN/m),LogCMC (M)
CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.59E-06,32.77966102,-1.996644295
CCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.00E-06,,
CCCCCCCCCCOCCOCCOCCOCCO,3.31E-06,26.57845408,-2.990129868
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.86E-06,29.9119246,-2.933378481
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,4.26E-06,29.56867748,-3.925349177
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.60E-06,28.41613942,-3.971639272
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.76E-06,36.28433313,-4.387217468
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.10E-06,,
CCCCCCCCCCCCOCCOCCO,5.12E-06,26.34701829,-4.48148606
CCCCCCCCCCCCOCCOCCOCCO,4.97E-06,23.80126734,-4.283996656
CCCCCCCCCCCCOCCOCCOCCOCCO,3.82E-06,28.63333333,-4.193820026
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,3.33E-06,30.52002716,-4.193820026
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,2.83E-06,33.58139535,-4.086186148
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.50E-06,34.54603854,-3.962573502
CCCO,6.00E-06,,
CCCCO,6.75E-06,,
CCCCCO,6.48E-06,,
CCCCCCO,7.11E-06,,
CCCCCCCO,7.06E-06,,
CCCCCCCCO,7.66E-06,,
CCCCCCCCCO,8.22E-06,,
CCCCCCCCCCO,1.11E-05,,
OCCCCO,2.43E-06,,
OCCCCCCCCO,3.07E-06,,
OCCCCCCCCCO,2.88E-06,,
OCCCCCCCCCCO,3.90E-06,,
CCCCCCC(=O)O,7.29E-06,,
CCCCCCCC(=O)O,1.11E-05,,
CCCCCCCCC(=O)O,8.90E-06,,
CCCCCCCCCC(=O)O,9.86E-06,,
CCCCCCCCCCCC(=O)O,1.02E-05,,
CCCCCCCOS(=O)(=O)[O-].[Na+],3.47E-06,,
CCCCCCCCOS(=O)(=O)[O-].[Na+],5.16E-06,40.56275862,-0.944749038
CCCCCCCCCOS(=O)(=O)[O-].[Na+],3.78E-06,,
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.80E-06,39.0651801,-2.113426517
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],4.70E-06,,
CCCCCCCCCCS(=O)(=O)[O-].[Na+],5.50E-06,41,-1.323659065
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],3.65E-06,39.98390557,-1.948475586
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],4.71E-06,41.13533525,-1.797202797
CCCCCCCCOCCOCCOCCS(=O)(=O)[O-].[Na+],2.94E-06,40.83146943,-1.332700277
CCCCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],5.38E-06,,
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.80E-06,39.00720104,-2.406976744
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],2.78E-06,41.62788929,-2.531074217
[O-]S(=O)(OC1CCOCC1CCCCCCCCC)=O.[Na+],3.23E-06,45.00058814,-1.521094989
[O-]S(=O)(OC1CCOCC1CCCCCCCCCCC)=O.[Na+],3.36E-06,44.82631904,-2.2
[O-]S(=O)(OC1CCOCC1CCCCCCCCCCCCC)=O.[Na+],2.54E-06,45.10502453,-2.829885126
[O-]S(=O)(OC1CCOCC1CCCCCCCCCCCCCCC)=O.[Na+],2.74E-06,45.53444361,-3.45
CCCCCCCCCC[N+](C)(C)(C).[Br-],3.80E-06,,
CCCCCCCCCCCC[N+](C)(C)(C).[Br-],4.56E-06,39.15654405,-1.897959184
CCCCCCCCCCCCCC[N+](C)(C)(C).[Br-],4.55E-06,37.8265374,-2.437641723
CCCCCCCCCCCCCCC[N+](C)(C)(C).[Br-],4.50E-06,,
CCCCCCCCCCCCCCCC[N+](C)(C)(C).[Br-],4.78E-06,37.85996812,-3.049943916
CCCCCC(=O)[O-].[Na+],3.57E-06,,
CCCCCCCC(=O)[O-].[Na+],4.01E-06,,
